start_i,a_i,b_i,q_o,r_o,ready_o,sequential_divider_test_results
0,00001000,00000010,00000000,00000000,1,OK
1,00000100,00000010,00000010,00000000,1,OK
1,00001000,00000010,00000100,00000000,1,OK
1,11111111,11111111,00000001,00000000,1,OK
1,01100100,00000111,00001110,00000010,1,OK
1,11111111,00000001,11111111,00000000,1,OK
1,00001010,00001100,00000000,00001010,1,OK
1,01010101,00000000,11111111,11111111,1,OK
1,00000000,00001010,00000000,00000000,1,OK
1,11111111,00000010,01111111,00000001,1,OK
1,10000000,10000000,00000001,00000000,1,OK
1,00000000,00000000,11111111,11111111,1,OK
